
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
     2671     5849  0.417605E+02  0.424283E+02  0.312236E+01  0.794511E+05  0.368538E+01  0.742673E+03
     2804     5685  0.446579E+02  0.453689E+02  0.442744E+01  0.818625E+05  0.379424E+01  0.764184E+03
     2944     5526  0.478878E+02  0.485895E+02  0.381220E+01  0.833424E+05  0.388320E+01  0.770962E+03
     3091     5369  0.519480E+02  0.525175E+02  0.507870E+01  0.855360E+05  0.399082E+01  0.785977E+03
     3245     5224  0.558848E+02  0.567608E+02  0.377063E+01  0.867453E+05  0.407461E+01  0.793540E+03
     3407     5066  0.607278E+02  0.621586E+02  0.368641E+01  0.883943E+05  0.417682E+01  0.793935E+03
     3577     4921  0.658529E+02  0.672551E+02  0.159208E+01  0.905624E+05  0.428984E+01  0.801626E+03
     3755     4794  0.718442E+02  0.742400E+02  0.264296E+01  0.926579E+05  0.439618E+01  0.788297E+03
     3942     4690  0.772964E+02  0.801132E+02  0.303777E+01  0.939057E+05  0.447444E+01  0.785487E+03
     4139     4574  0.842667E+02  0.867871E+02  0.435099E+01  0.953234E+05  0.456466E+01  0.782680E+03
     4345     4432  0.924646E+02  0.937101E+02  0.524212E+01  0.963743E+05  0.466250E+01  0.777725E+03
     4562     4334  0.101036E+03  0.103042E+03  0.450539E+01  0.976434E+05  0.474605E+01  0.768100E+03
     4790     4245  0.110463E+03  0.111987E+03  0.230596E+01  0.984376E+05  0.481537E+01  0.759038E+03
     5029     4164  0.121409E+03  0.123665E+03  0.102058E+01  0.992737E+05  0.488269E+01  0.753508E+03
     5280     4082  0.133645E+03  0.135256E+03 -0.399104E+00  0.998982E+05  0.494700E+01  0.743025E+03
     5544     4000  0.147786E+03  0.149072E+03  0.138648E+01  0.100668E+06  0.501663E+01  0.729313E+03
     5821     3937  0.163131E+03  0.163827E+03  0.215280E+00  0.101707E+06  0.508267E+01  0.713342E+03
     6112     3865  0.181361E+03  0.181293E+03  0.226577E+01  0.102786E+06  0.515681E+01  0.710531E+03
     6417     3802  0.201955E+03  0.201245E+03  0.293877E+01  0.103171E+06  0.520900E+01  0.686135E+03
     6737     3749  0.225577E+03  0.225550E+03  0.128222E+01  0.103957E+06  0.526582E+01  0.670639E+03
     7073     3702  0.253120E+03  0.253794E+03  0.182813E+01  0.105035E+06  0.532651E+01  0.649375E+03
     7426     3653  0.286888E+03  0.287104E+03  0.107368E+01  0.104272E+06  0.534266E+01  0.621144E+03
     7797     3608  0.324567E+03  0.323804E+03  0.953432E+00  0.104477E+06  0.538114E+01  0.599980E+03
     8186     3561  0.368612E+03  0.367853E+03  0.329017E+00  0.104847E+06  0.542615E+01  0.569979E+03
     8595     3526  0.422274E+03  0.422272E+03 -0.119441E+01  0.105387E+06  0.546702E+01  0.548232E+03
     9024     3499  0.483724E+03  0.485827E+03 -0.369076E-01  0.104971E+06  0.547724E+01  0.530334E+03
     9475     3474  0.558177E+03  0.561886E+03 -0.112456E+01  0.104976E+06  0.549702E+01  0.499497E+03
     9948     3454  0.645960E+03  0.651980E+03 -0.323403E+00  0.104776E+06  0.550770E+01  0.496572E+03
    10445     3424  0.756307E+03  0.763305E+03  0.169524E+00  0.105278E+06  0.554502E+01  0.461278E+03
    10967     3407  0.888560E+03  0.895717E+03  0.657039E+00  0.105544E+06  0.556584E+01  0.448901E+03
    11515     3381  0.105235E+04  0.105659E+04  0.382811E+00  0.105253E+06  0.557950E+01  0.417236E+03
    12090     3364  0.125605E+04  0.125996E+04  0.125492E+01  0.105547E+06  0.560134E+01  0.398272E+03
    12694     3348  0.151182E+04  0.151866E+04  0.835185E+00  0.105101E+06  0.560286E+01  0.373780E+03
    13328     3334  0.183739E+04  0.184452E+04  0.104906E+01  0.105373E+06  0.562184E+01  0.342741E+03
    13994     3323  0.224504E+04  0.224705E+04  0.690009E+00  0.105530E+06  0.563535E+01  0.323352E+03
    14693     3312  0.278043E+04  0.278495E+04  0.173053E+00  0.105291E+06  0.563834E+01  0.305591E+03
    15427     3306  0.348136E+04  0.348636E+04  0.714617E+00  0.105486E+06  0.564864E+01  0.273000E+03
    16198     3304  0.438954E+04  0.440708E+04  0.141317E+01  0.105750E+06  0.565739E+01  0.250259E+03
    16384     3303  0.464144E+04  0.466146E+04  0.190760E+01  0.105613E+06  0.565454E+01  0.250289E+03
