Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 1048576
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 1048576
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 1048576
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=943947)= 30292.42479564817
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -1.187789E+06   -1.187789E+05   -3.921076E+00    1.529432E-04    4.908137E-06  
 -1.187689E+06   -1.187689E+05   -3.920746E+00    8.291872E-04    2.660964E-05  
 -1.187589E+06   -1.187589E+05   -3.920416E+00    4.780636E-04    1.534165E-05  
 -1.187489E+06   -1.187489E+05   -3.920086E+00    6.204879E-04    1.991222E-05  
 -1.187389E+06   -1.187389E+05   -3.919756E+00    5.777457E-04    1.854057E-05  
 -1.187289E+06   -1.187289E+05   -3.919425E+00    1.069208E-04    3.431221E-06  
 -1.187189E+06   -1.187189E+05   -3.919095E+00    9.080376E-05    2.914005E-06  
 -1.187089E+06   -1.187089E+05   -3.918765E+00    4.282143E-05    1.374192E-06  
 -1.186989E+06   -1.186989E+05   -3.918435E+00    1.542470E-04    4.949977E-06  
 -1.186889E+06   -1.186889E+05   -3.918105E+00    2.532325E-04    8.126544E-06  
 -1.186789E+06   -1.186789E+05   -3.917775E+00    9.277439E-05    2.977245E-06  
 -1.186689E+06   -1.186689E+05   -3.917445E+00    1.904795E-04    6.112721E-06  
 -1.186589E+06   -1.186589E+05   -3.917115E+00    2.808610E-04    9.013177E-06  
 -1.186489E+06   -1.186489E+05   -3.916785E+00    5.394976E-05    1.731314E-06  
 -1.186389E+06   -1.186389E+05   -3.916454E+00    1.379751E-04    4.427792E-06  
 -1.186289E+06   -1.186289E+05   -3.916124E+00    2.740936E-04    8.796001E-06  
 -1.186189E+06   -1.186189E+05   -3.915794E+00    5.235379E-04    1.680098E-05  
 -1.186089E+06   -1.186089E+05   -3.915464E+00    1.588751E-03    5.098499E-05  
 -1.185989E+06   -1.185989E+05   -3.915134E+00    9.061654E-04    2.907997E-05  
 -1.185889E+06   -1.185889E+05   -3.914804E+00    3.203853E-04    1.028156E-05  
 -1.185789E+06   -1.185789E+05   -3.914474E+00    1.487314E-04    4.772975E-06  
 -1.185689E+06   -1.185689E+05   -3.914144E+00    7.518886E-05    2.412903E-06  
 -1.185589E+06   -1.185589E+05   -3.913813E+00    1.871323E-04    6.005305E-06  
 -1.185489E+06   -1.185489E+05   -3.913483E+00    1.642483E-04    5.270929E-06  
 -1.185389E+06   -1.185389E+05   -3.913153E+00    2.633768E-04    8.452086E-06  
 -1.185289E+06   -1.185289E+05   -3.912823E+00    8.562121E-05    2.747690E-06  
 -1.185189E+06   -1.185189E+05   -3.912493E+00    4.356499E-04    1.398054E-05  
 -1.185089E+06   -1.185089E+05   -3.912163E+00    1.003335E-04    3.219827E-06  
 -1.184989E+06   -1.184989E+05   -3.911833E+00    9.123765E-05    2.927929E-06  
 -1.184889E+06   -1.184889E+05   -3.911503E+00    1.070459E-04    3.435234E-06  
 -1.184789E+06   -1.184789E+05   -3.911173E+00    1.485739E-04    4.767919E-06  
 -1.184689E+06   -1.184689E+05   -3.910842E+00    1.127890E-04    3.619537E-06  
 -1.184589E+06   -1.184589E+05   -3.910512E+00    4.732301E-05    1.518654E-06  
 -1.184489E+06   -1.184489E+05   -3.910182E+00    3.823857E-05    1.227123E-06  
 -1.184389E+06   -1.184389E+05   -3.909852E+00    3.574564E-05    1.147122E-06  
 -1.184289E+06   -1.184289E+05   -3.909522E+00    1.722762E-04    5.528555E-06  
 -1.184189E+06   -1.184189E+05   -3.909192E+00    1.185828E-04    3.805469E-06  
 -1.184089E+06   -1.184089E+05   -3.908862E+00    1.001405E-04    3.213633E-06  
 -1.183989E+06   -1.183989E+05   -3.908532E+00    1.052443E-04    3.377418E-06  
 -1.183889E+06   -1.183889E+05   -3.908201E+00    7.190739E-05    2.307597E-06  
 -1.183789E+06   -1.183789E+05   -3.907871E+00    7.976754E-05    2.559839E-06  
 -1.183689E+06   -1.183689E+05   -3.907541E+00    3.420072E-05    1.097543E-06  
 -1.183589E+06   -1.183589E+05   -3.907211E+00    1.306794E-04    4.193662E-06  
 -1.183489E+06   -1.183489E+05   -3.906881E+00    5.509211E-05    1.767974E-06  
 -1.183389E+06   -1.183389E+05   -3.906551E+00    4.999806E-05    1.604499E-06  
 -1.183289E+06   -1.183289E+05   -3.906221E+00    8.212411E-05    2.635464E-06  
 -1.183189E+06   -1.183189E+05   -3.905891E+00    5.025258E-05    1.612667E-06  
 -1.183089E+06   -1.183089E+05   -3.905561E+00    3.013541E-04    9.670826E-06  
 -1.182989E+06   -1.182989E+05   -3.905230E+00    1.828154E-04    5.866771E-06  
 -1.182889E+06   -1.182889E+05   -3.904900E+00    6.494781E-05    2.084256E-06  
 -1.182789E+06   -1.182789E+05   -3.904570E+00    1.977597E-04    6.346352E-06  
 -1.182689E+06   -1.182689E+05   -3.904240E+00    3.833684E-04    1.230276E-05  
 -1.182589E+06   -1.182589E+05   -3.903910E+00    7.008061E-04    2.248973E-05  
 -1.182489E+06   -1.182489E+05   -3.903580E+00    6.804321E-04    2.183591E-05  
 -1.182389E+06   -1.182389E+05   -3.903250E+00    8.376653E-04    2.688171E-05  
 -1.182289E+06   -1.182289E+05   -3.902920E+00    4.330693E-04    1.389773E-05  
 -1.182189E+06   -1.182189E+05   -3.902590E+00    6.455717E-04    2.071719E-05  
