	time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
     1491     8670  0.196311E+02  0.189496E+02  0.386039E+01  0.781037E+05  0.300113E+01  0.681146E+03
     1565     8368  0.208164E+02  0.201797E+02  0.333276E+01  0.800558E+05  0.309283E+01  0.695712E+03
     1643     8102  0.219821E+02  0.215626E+02  0.240838E+01  0.825543E+05  0.319197E+01  0.717775E+03
     1725     7825  0.234528E+02  0.230536E+02  0.187946E+01  0.851127E+05  0.329796E+01  0.732208E+03
     1811     7577  0.249363E+02  0.246325E+02  0.757202E+00  0.876561E+05  0.340127E+01  0.741760E+03
     1901     7337  0.264515E+02  0.263893E+02  0.813082E+00  0.896289E+05  0.349513E+01  0.754359E+03
     1996     7084  0.281707E+02  0.281421E+02  0.272114E+00  0.913533E+05  0.359106E+01  0.761546E+03
     2095     6869  0.300128E+02  0.302509E+02 -0.649346E-01  0.937911E+05  0.369517E+01  0.773970E+03
     2199     6656  0.319507E+02  0.322137E+02  0.623223E-01  0.956964E+05  0.379176E+01  0.783522E+03
     2308     6446  0.340697E+02  0.344238E+02 -0.143906E+01  0.969514E+05  0.387817E+01  0.787335E+03
     2423     6214  0.365734E+02  0.369129E+02 -0.100546E+01  0.985899E+05  0.398317E+01  0.788840E+03
     2544     6024  0.390038E+02  0.395175E+02  0.822497E+00  0.996272E+05  0.406673E+01  0.791752E+03
     2671     5849  0.417605E+02  0.424283E+02  0.190784E+01  0.100408E+06  0.414319E+01  0.788754E+03
     2804     5685  0.446579E+02  0.453689E+02  0.227508E+01  0.102614E+06  0.424842E+01  0.800934E+03
     2944     5526  0.478878E+02  0.485895E+02  0.270915E+01  0.103994E+06  0.433795E+01  0.794245E+03
     3091     5369  0.519480E+02  0.525175E+02  0.362477E+01  0.106016E+06  0.444336E+01  0.804827E+03
     3245     5224  0.558848E+02  0.567608E+02  0.192785E+01  0.106551E+06  0.451616E+01  0.798999E+03
     3407     5066  0.607278E+02  0.621586E+02  0.788739E+00  0.107944E+06  0.461599E+01  0.796392E+03
     3577     4921  0.658529E+02  0.672551E+02 -0.128255E+01  0.109250E+06  0.471174E+01  0.796450E+03
     3755     4794  0.718442E+02  0.742400E+02 -0.904818E-01  0.109804E+06  0.478585E+01  0.786868E+03
     3942     4690  0.772964E+02  0.801132E+02  0.110794E+01  0.110762E+06  0.485966E+01  0.785998E+03
     4139     4574  0.842667E+02  0.867871E+02  0.140318E+01  0.111534E+06  0.493800E+01  0.765915E+03
     4345     4432  0.924646E+02  0.937101E+02  0.218380E+01  0.111860E+06  0.502376E+01  0.759772E+03
     4562     4334  0.101036E+03  0.103042E+03  0.117635E+01  0.112578E+06  0.509658E+01  0.759465E+03
     4790     4245  0.110463E+03  0.111987E+03  0.507215E+00  0.113368E+06  0.516780E+01  0.740414E+03
     5029     4164  0.121409E+03  0.123665E+03 -0.203530E+01  0.113555E+06  0.522203E+01  0.729382E+03
     5280     4082  0.133645E+03  0.135256E+03 -0.427747E+01  0.113801E+06  0.527960E+01  0.718376E+03
     5544     4000  0.147786E+03  0.149072E+03 -0.200780E+01  0.113744E+06  0.533245E+01  0.698936E+03
     5821     3937  0.163131E+03  0.163827E+03 -0.347509E+01  0.113383E+06  0.536620E+01  0.678732E+03
     6112     3865  0.181361E+03  0.181293E+03 -0.193011E+01  0.113757E+06  0.542510E+01  0.664482E+03
     6417     3802  0.201955E+03  0.201245E+03 -0.928911E+00  0.113488E+06  0.546346E+01  0.646668E+03
     6737     3749  0.225577E+03  0.225550E+03 -0.330597E+01  0.113664E+06  0.550597E+01  0.616190E+03
     7073     3702  0.253120E+03  0.253794E+03 -0.163006E+01  0.114347E+06  0.555763E+01  0.593795E+03
     7426     3653  0.286888E+03  0.287104E+03 -0.158125E+01  0.114006E+06  0.558643E+01  0.575965E+03
     7797     3608  0.324567E+03  0.323804E+03 -0.146553E+01  0.114361E+06  0.562991E+01  0.567626E+03
     8186     3561  0.368612E+03  0.367853E+03 -0.160479E+01  0.114051E+06  0.565924E+01  0.534905E+03
     8595     3526  0.422274E+03  0.422272E+03 -0.315757E+01  0.113998E+06  0.568575E+01  0.524009E+03
     9024     3499  0.483724E+03  0.485827E+03 -0.165671E+01  0.113750E+06  0.570162E+01  0.497793E+03
     9475     3474  0.558177E+03  0.561886E+03 -0.246301E+01  0.113568E+06  0.571744E+01  0.463287E+03
     9948     3454  0.645960E+03  0.651980E+03 -0.183903E+01  0.113867E+06  0.574157E+01  0.459737E+03
    10445     3424  0.756307E+03  0.763305E+03 -0.129349E+01  0.113919E+06  0.576804E+01  0.436614E+03
    10967     3407  0.888560E+03  0.895717E+03 -0.885741E+00  0.114114E+06  0.578737E+01  0.412583E+03
    11515     3381  0.105235E+04  0.105659E+04 -0.129562E+01  0.114290E+06  0.581405E+01  0.379590E+03
    12090     3364  0.125605E+04  0.125996E+04  0.554357E+00  0.114082E+06  0.582345E+01  0.352071E+03
    12694     3348  0.151182E+04  0.151866E+04 -0.105972E+00  0.113282E+06  0.581684E+01  0.331470E+03
    13328     3334  0.183739E+04  0.184452E+04  0.491999E+00  0.113653E+06  0.583859E+01  0.317697E+03
    13994     3323  0.224504E+04  0.224705E+04  0.211145E+00  0.114125E+06  0.586037E+01  0.305247E+03
    14693     3312  0.278043E+04  0.278495E+04 -0.558421E+00  0.114321E+06  0.587512E+01  0.282641E+03
    15427     3306  0.348136E+04  0.348636E+04 -0.145606E+00  0.114023E+06  0.587280E+01  0.245982E+03
    16198     3304  0.438954E+04  0.440708E+04  0.121714E+01  0.113826E+06  0.586945E+01  0.223516E+03
    16384     3303  0.464144E+04  0.466146E+04  0.164117E+01  0.113886E+06  0.587186E+01  0.229558E+03
